BEZEICHNUNG,STR_SCHL,GEMEINDE_KENNUNG,ID,KENNUNG,mw,benannt nach,URL
Abteistraße,00013,8421000,904,STR,,,
Abt-Modest-Platz,00018,8421000,987,STR,m,,
Abt-Ulrich-Straße,00023,8421000,1303,STR,m,,
Ackerstraße,00026,8421000,753,STR,,,
Adlerbastei,00039,8421000,5,STR,,,
Adlergasse,00052,8421000,619,STR,,,
Adolf-Reichwein-Weg,00065,8421000,523,STR,m,,https://de.wikipedia.org/wiki/Adolf_Reichwein
Adolph-Kolping-Platz,00066,8421000,1787,STR,m,,https://de.wikipedia.org/wiki/Adolph_Kolping
Agathe-Streicher-Weg,00067,8421000,836,STR,w,"<strong>Agathe Streicher</strong>, 1520–1581, erste vereidigte Ulmer Ärztin.",https://de.wikipedia.org/wiki/Agatha_Streicher
Agnes-Karll-Weg,00068,8421000,712,STR,w,"<strong>Agnes Karll</strong>, 1868–1927, Reformerin der deutschen Krankenpflege",https://de.wikipedia.org/wiki/Agnes_Karll
Ahornweg,00070,8421000,1641,STR,,,
Alb-Donau-Straße,00074,8421000,972,STR,,,
Albecker Steige,00078,8421000,242,STR,,,
Albert-Einstein-Allee,00085,8421000,299,STR,m,,https://de.wikipedia.org/wiki/Albert_Einstein
Alberweg,00091,8421000,249,STR,,,
Albstraße,00097,8421000,285,STR,,,
Alfred-Mendler-Weg,00100,8421000,733,STR,m,,https://de.wikipedia.org/wiki/Theater_Ulm#Intendanten
Alfred-Moos-Weg,00101,8421000,1783,STR,m,,
Allewind,00103,8421000,1244,STR,,,
Allewinder Weg,00104,8421000,453,STR,,,
Alpenblick,00114,8421000,1241,STR,,,
Alpenstraße,00117,8421000,178,STR,,,
Alte Ochsensteige,00122,8421000,1780,STR,,,
Alter Bahnhof Söfl.,00124,8421000,1666,STR,,,
Alter Gögglinger Weg,00130,8421000,607,STR,,,
Alte Straße,00132,8421000,1558,STR,,,
Altheimer Straße,00134,8421000,1613,STR,,,
Am Bleicher Hag,00143,8421000,296,STR,,,
Am Bürgele,00152,8421000,1188,STR,,,
Am Eichberg,00154,8421000,506,STR,,,
Am Eselsberg,00156,8421000,326,STR,,,
Am Gaukler,00162,8421000,1094,STR,,,
Am Hag,00165,8421000,1225,STR,,,
Am Hetzenbäumle,00182,8421000,337,STR,,,
Am Hochsträß,00195,8421000,442,STR,,,
Am Hohen Rain,00196,8421000,1049,STR,,,
Am Langen Buckel,00197,8421000,1770,STR,,,
Ammonitenweg,00198,8421000,1753,STR,,,
Am Kraftwerk,00199,8421000,991,STR,,,
Am Lederhof,00200,8421000,79,STR,,,
Am Örlinger Holz,00201,8421000,278,STR,,,
Am Pfannenstiel,00202,8421000,1425,STR,,,
Ampferweg,00204,8421000,1218,STR,,,
Am Roten Bach,00208,8421000,757,STR,,,
Am Roten Berg,00221,8421000,759,STR,,,
Am Sandhaken,00234,8421000,470,STR,,,
Am Schulhaus,00240,8421000,1395,STR,,,
Amselweg,00247,8421000,645,STR,,,
Am Sudhaus,00248,8421000,1744,STR,,,
Am Vogelsang,00250,8421000,1114,STR,,,
